title,price,metal,link,image
Sicily -  Dionysios I,$175.000,Silver,https://www.numiscorner.com/products/898000-coin-sicily-syracuse-decadrachm-405-400-bc-unsigned-work-by-kimon,https://www.numiscorner.com/cdn/shop/files/898000A_799f777a-4a5d-4484-ba50-4144cc3dade1.progressive.jpg?v=1733387175
Coin -  Sicily,$150.000,Silver,https://www.numiscorner.com/products/342770-coin-sicily-siculo-punic-decadrachm-ca-260-bc-carthage-au-55-58-silver,https://www.numiscorner.com/cdn/shop/products/342770A_bdc957e6-4932-4021-8d69-29b04867a03f.progressive.jpg?v=1689075609
Kyrenaica -  Ophellas,$38.900,Gold,https://www.numiscorner.com/products/1066722-coin-kyrenaica-ophellas-stater-312-309-bc-kyrene-au-55-58-gold-bmc-123,https://www.numiscorner.com/cdn/shop/files/1066722A.progressive.jpg?v=1733395213
Baktrian Kingdom -  Plato,$30.900,Silver,https://www.numiscorner.com/products/1021132-coin-baktrian-kingdom-plato-tetradrachm-145-140-bc-ms-60-62-silver,https://www.numiscorner.com/cdn/shop/files/1021132A.progressive.jpg?v=1733402476
Macedonia -  Tyntenoi,$30.900,Silver,https://www.numiscorner.com/products/867353-coin-macedonia-octodrachm-c-480-470-bc-extremely-rare-ef-40-45-silver,https://www.numiscorner.com/cdn/shop/files/867353A_7dbdc401-a1c8-47f5-ae08-21221722700c.progressive.jpg?v=1714731241
Macedonia -  Tetradrachm,$22.900,Silver,https://www.numiscorner.com/products/341677-coin-macedonia-tetradrachm-ca-525-470-bc-akanthos-graded-ngc-ch-xf-5-5,https://www.numiscorner.com/cdn/shop/products/341677A.progressive.jpg?v=1706261236
Coin -  Egypt,$22.900,Gold,https://www.numiscorner.com/products/1021327-coin-egypt-ptolemy-iv-octodrachm-221-205-bc-alexandria-graded-ngc-ch-au,https://www.numiscorner.com/cdn/shop/files/1021327A.progressive.jpg?v=1714402999
Seleukid Kingdom -  Antiochus I Soter,$22.900,Gold,https://www.numiscorner.com/products/1021127-coin-seleukid-kingdom-antiochos-i-soter-stater-266-261-bc-ai-khanoum,https://www.numiscorner.com/cdn/shop/products/1021127A.progressive.jpg?v=1693900066
Bagadat -  Tetradrachm,$20.900,Silver,https://www.numiscorner.com/products/970421-coin-bagadat-tetradrachm-3rd-2nd-century-bc-istakhr-au-55-58-silver,https://www.numiscorner.com/cdn/shop/files/970421A_2d2ff5b1-c71f-4f66-9459-854ea7c9b5ed.progressive.jpg?v=1715687949
Lydia -  Croesus,$27.900,Gold,https://www.numiscorner.com/products/1067948-coin-lydia-kroisos-stater-ca-564-53-550-39-bc-sardes-au-50-53-gold,https://www.numiscorner.com/cdn/shop/files/1067948A_5221dc53-278d-44ef-81e4-ee44527b0486.progressive.jpg?v=1715334018
Baktrian Kingdom -  Demetrios II,$19.900,Silver,https://www.numiscorner.com/products/1021130-coin-baktrian-kingdom-demetrios-ii-tetradrachm-150-145-bc-ms-63-silver,https://www.numiscorner.com/cdn/shop/products/1021130A_61085ab8-51d9-471b-b23e-9fcf6f0fac42.progressive.jpg?v=1693899683
Sicily -  Tetradrachm,$19.900,Silver,https://www.numiscorner.com/products/898143-coin-sicily-messana-tetradrachm-412-408-bc-au-55-58-silver,https://www.numiscorner.com/cdn/shop/products/898143A_a7b2a615-15aa-4f08-b3a2-9acf053cdfc4.progressive.jpg?v=1693789522
Sicily -  Tetradrachm,$19.500,Silver,https://www.numiscorner.com/products/1021646-coin-sicily-tetradrachm-475-bc-leontini-pedigree-au-55-58-silver,https://www.numiscorner.com/cdn/shop/files/1021646A.progressive.jpg?v=1733481055
Lucania -  Nomos,$18.900,Silver,https://www.numiscorner.com/products/897998-coin-lucania-metapontion-nomos-340-330-bc-au-55-58-silver-hn-italy-1567,https://www.numiscorner.com/cdn/shop/files/897998A.progressive.jpg?v=1714984199
Macedonia -  Tetradrachm,$17.900,Silver,https://www.numiscorner.com/products/1068186-coin-macedonia-tetradrachm-ca-470-430-bc-akanthos-au-55-58-silver,https://www.numiscorner.com/cdn/shop/files/1068186A_97895df7-1374-43f6-89e3-65617ecd1fd3.progressive.jpg?v=1715586520
Mysia -  Stater,$17.500,Electrum,https://www.numiscorner.com/products/1066885-coin-mysia-stater-ca-550-450-bc-kyzikos-ef-40-45-electrum,https://www.numiscorner.com/cdn/shop/files/1066885A.progressive.jpg?v=1733492186
Egypt -  Ptolemy V,$14.000,Silver,https://www.numiscorner.com/products/1067011-coin-egypt-ptolemy-v-tetradrachm-ca-199-198-bc-uncertain-mint-au-55-58,https://www.numiscorner.com/cdn/shop/files/1067011A.progressive.jpg?v=1733491720
Lucania -  Nomos,$13.900,Silver,https://www.numiscorner.com/products/897997-coin-lucania-metapontion-nomos-400-340-bc-au-50-53-silver-hn-italy-1531,https://www.numiscorner.com/cdn/shop/files/897997A_05b23321-ab0b-4af9-946e-cec1935f830f.progressive.jpg?v=1714982336
Lydia -  Alyattes to Kroisos,$12.900,Gold,https://www.numiscorner.com/products/1066891-coin-lydia-1-3-stater-ca-564-53-550-39-bc-sardes-ef-40-45-gold,https://www.numiscorner.com/cdn/shop/files/1066891A_d8adf8e5-5cf5-4c6e-8b1a-5798ec26425c.progressive.jpg?v=1715085735
Attica -  Tetradrachm,$12.900,Silver,https://www.numiscorner.com/products/1066791-coin-attica-tetradrachm-ca-500-490-485-480-bc-athens-au-50-53-silver,https://www.numiscorner.com/cdn/shop/files/1066791A_acae6426-eb5e-4d44-b725-34dafd8113d9.progressive.jpg?v=1715081988
